title,category,price_gbp,price_inr,rating,in_stock
It's Only the Himalayas,Travel,45.17,4765.435,2,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,5214.865,4,True
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,5155.785,3,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,3897.1699999999996,2,True
Under the Tuscan Sun,Travel,37.33,3938.3149999999996,3,True
A Summer In Europe,Travel,44.34,4677.870000000001,2,True
The Great Railway Bazaar,Travel,30.54,3221.97,1,True
A Year in Provence (Provence #1),Travel,56.88,6000.84,4,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,2448.655,1,True
Neither Here nor There: Travels in Europe,Travel,38.95,4109.225,3,True
"1,000 Places to See Before You Die",Travel,26.08,2751.4399999999996,5,True
Sharp Objects,Mystery,47.82,5045.01,4,True
"In a Dark, Dark Wood",Mystery,19.63,2070.9649999999997,1,True
The Past Never Ends,Mystery,56.5,5960.75,4,True
A Murder in Time,Mystery,16.64,1755.52,1,True
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4652.55,4,True
The Last Mile (Amos Decker #2),Mystery,54.21,5719.155,2,True
That Darkness (Gardiner and Renner #1),Mystery,13.92,1468.56,1,True
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1127.7949999999998,1,True
A Time of Torment (Charlie Parker #14),Mystery,48.35,5100.925,5,True
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,1765.015,2,True
Poisonous (Max Revere Novels #3),Mystery,26.8,2827.4,3,True
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,5734.98,4,True
Most Wanted,Mystery,35.28,3722.04,3,True
Hide Away (Eve Duncan #20),Mystery,11.84,1249.12,1,True
Boar Island (Anna Pigeon #19),Mystery,59.48,6275.139999999999,3,True
The Widow,Mystery,27.26,2875.9300000000003,2,True
Playing with Fire,Mystery,13.71,1446.4050000000002,3,True
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,2676.5350000000003,5,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5517.65,5,True
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,2203.895,4,True
Tipping the Velvet,Historical Fiction,53.74,5669.570000000001,1,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3132.295,3,True
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5858.415,5,True
The House by the Lake,Historical Fiction,36.95,3898.2250000000004,1,True
Mrs. Houdini,Historical Fiction,30.25,3191.375,5,True
The Marriage of Opposites,Historical Fiction,28.08,2962.4399999999996,4,True
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,4836.120000000001,3,True
"Love, Lies and Spies",Historical Fiction,20.55,2168.025,2,True
A Paris Apartment,Historical Fiction,39.01,4115.554999999999,4,True
Lilac Girls,Historical Fiction,17.28,1823.0400000000002,2,True
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,1753.41,3,True
The Invention of Wings,Historical Fiction,37.34,3939.3700000000003,1,True
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,3478.335,4,True
The Passion of Dolssa,Historical Fiction,28.32,2987.76,5,True
Girl With a Pearl Earring,Historical Fiction,26.77,2824.235,1,True
Voyager (Outlander #3),Historical Fiction,21.07,2222.885,5,True
The Red Tent,Historical Fiction,35.66,3762.1299999999997,5,True
The Last Painting of Sara de Vos,Historical Fiction,55.55,5860.525,2,True
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,5225.415,1,True
Girl in the Blue Coat,Historical Fiction,46.83,4940.565,2,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5516.595,5,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1717.5400000000002,1,True
This One Summer,Sequential Art,19.49,2056.1949999999997,4,True
The Nameless City (The Nameless City #1),Sequential Art,38.16,4025.8799999999997,4,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,5384.72,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,5317.2,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,1435.855,5,True
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,2001.3349999999998,1,True
Patience,Sequential Art,10.16,1071.88,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,1628.9199999999998,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,5107.254999999999,1,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,4949.004999999999,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,4811.855,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2101.5600000000004,2,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,3077.4350000000004,2,True
I am a Hero Omnibus Volume 1,Sequential Art,54.63,5763.465,3,True
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2332.605,2,True
Danganronpa Volume 1,Sequential Art,51.99,5484.945000000001,4,True
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,3873.96,4,True
Camp Midnight,Sequential Art,17.08,1801.9399999999998,4,True
